,side,beta,std,pval,contrast,strain,experiment,significant,corrected pval
75,Deleterious,0.0036480088,0.0048861431,0.4844850028,17kL.6kL,L,H,0,0.533922248
76,Beneficial,-0.0221386162,0.0145033427,0.1246346739,40kL.6kL,L,H,0,0.2019081717
77,Deleterious,-0.0083007603,0.0151409494,0.4005850499,40kL.6kL,L,H,0,0.4668689071
78,Beneficial,0.0498843829,0.0569293223,0.2425315159,6kL.R,L,N,0,0.3247116163
79,Deleterious,0.0440148395,0.0229551485,0.0033011629,6kL.R,L,N,1,0.0076398341
80,Beneficial,-0.0014551345,0.0210850237,0.9383082935,17kL.6kL,L,N,0,0.9441362953
81,Deleterious,0.0039421745,0.004692448,0.4761162676,17kL.6kL,L,N,0,0.5284107885
82,Beneficial,-0.0098753722,0.0372183,0.7589278849,40kL.6kL,L,N,0,0.7932020474
83,Deleterious,0.0136598846,0.0179101352,0.2152161066,40kL.6kL,L,N,0,0.3005604248
84,Beneficial,0.2196003394,0.0538435761,5.09137133165093E-06,6kL.R,L,Q,1,3.43667564886438E-05
85,Deleterious,0.131467319,0.0266637083,2.1261347040125E-09,6kL.R,L,Q,1,6.88867644100051E-08
86,Beneficial,-0.1075244629,0.0384609409,3.51608653028717E-07,17kL.6kL,L,Q,1,3.35062363474425E-06
87,Deleterious,-0.0067688847,0.0053540909,0.4182314157,17kL.6kL,L,Q,0,0.4839534953
88,Beneficial,-0.1644195641,0.0498861152,1.02058931424095E-05,40kL.6kL,L,Q,1,5.70122306575978E-05
89,Deleterious,-0.0415873655,0.0179740711,0.012657315,40kL.6kL,L,Q,1,0.02531463
90,Beneficial,0.1755612278,0.0572213215,0.001651429,6kL.R,L,WL,1,0.0043857623
91,Deleterious,0.0747915407,0.0201444022,3.95864393633333E-05,6kL.R,L,WL,1,0.0001603251
92,Beneficial,-0.0575228607,0.0234196522,0.0162214165,17kL.6kL,L,WL,1,0.031661078
93,Deleterious,-0.0114486457,0.0084458146,0.1180205849,17kL.6kL,L,WL,0,0.1939242337
94,Beneficial,-0.1209069843,0.0422929886,0.0037415142,40kL.6kL,L,WL,1,0.008418407
95,Deleterious,-0.0431692296,0.0149787474,0.0016099925,40kL.6kL,L,WL,1,0.0043469799
96,Beneficial,0.0698756066,0.0471881188,0.0590914142,6kL.R,L,V,0,0.1051957044
97,Deleterious,0.0938226687,0.0253578756,2.82968837755571E-05,6kL.R,L,V,1,0.0001238945
98,Beneficial,-0.0500734222,0.0207124258,0.0005990463,17kL.6kL,L,V,1,0.001797139
99,Deleterious,-0.0085451789,0.0069505339,0.3201178816,17kL.6kL,L,V,0,0.3899180211
100,Beneficial,-0.037076346,0.0375968248,0.1884304704,40kL.6kL,L,V,0,0.2725512162
101,Deleterious,-0.0430034049,0.0180875741,0.0113543343,40kL.6kL,L,V,1,0.0229925269
102,Beneficial,0.2027160008,0.0352619602,6.79267297646394E-07,6kS.R,R,R,1,6.11340567881755E-06
103,Deleterious,0.0556276403,0.0128344963,5.03702544685812E-10,6kS.R,R,R,1,5.53511997501773E-08
104,Beneficial,0.1989381802,0.0344519704,2.76731542009602E-07,6kL.R,R,R,1,2.80707032940759E-06
105,Deleterious,0.0495046022,0.0124225408,1.19113754751249E-08,6kL.R,R,R,1,2.41205353371279E-07
106,Beneficial,0.197249924,0.03592866,3.55316654534391E-06,17kS.R,R,R,1,2.61642263793506E-05
107,Deleterious,0.0568183986,0.0135353738,0.000000001,17kS.R,R,R,1,5.53511997501773E-08
108,Beneficial,0.1690283052,0.0313328163,1.12926044223583E-05,17kL.R,R,R,1,6.09424229578497E-05
109,Deleterious,0.0436225551,0.0119051816,2.77241514015564E-07,17kL.R,R,R,1,2.80707032940759E-06
110,Beneficial,0.1988867929,0.0346144774,2.67847911858915E-06,40kS.R,R,R,1,2.16956808605721E-05
111,Deleterious,0.0523421474,0.0131427585,1.62439280808296E-08,40kS.R,R,R,1,2.92390705454933E-07
112,Beneficial,0.1086216142,0.0292606385,0.0017106306,40kL.R,R,R,1,0.0044697122
113,Deleterious,0.031127709,0.0096884027,2.98654374978189E-05,40kL.R,R,R,1,0.0001260125
114,Beneficial,0.0485256399,0.0262230502,0.1185092539,6kS.R,R,I,0,0.1939242337
115,Deleterious,0.0601906449,0.0149227494,3.35989610213884E-06,6kS.R,R,I,1,2.59191985022139E-05
116,Beneficial,0.0524030348,0.0287741789,0.0847047649,6kL.R,R,I,0,0.1459805523
117,Deleterious,0.0641289498,0.0146249687,2.27290764139735E-07,6kL.R,R,I,1,2.63007884218837E-06
118,Beneficial,0.0391223824,0.0301061273,0.2365416844,17kS.R,R,I,0,0.3220147301
119,Deleterious,0.0603185201,0.0157058066,8.74110809757782E-06,17kS.R,R,I,1,5.05735539931288E-05
120,Beneficial,0.0544316278,0.0288655592,0.0580455317,17kL.R,R,I,0,0.1044819571
121,Deleterious,0.0550147952,0.0141213479,4.83594928091767E-06,17kL.R,R,I,1,3.40619036308114E-05
122,Beneficial,0.034821875,0.0336023965,0.2835788416,40kS.R,R,I,0,0.3533828641
