,side,beta,std,pval,timepoint,strain,experiment,significant,corrected pval
44,Beneficial,-0.0697656960961461,0.15543894999823035,0.6535541462986325,6.5k-20k,L,FL,0,0.8331125028805163
45,Deleterious,-0.13902100824196548,0.1216245491083587,0.2530244291666909,6.5k-20k,L,FL,0,0.5903903347222788
46,Beneficial,0.14872386278471242,0.18683428886877326,0.4260203107425381,20k-40k,L,FL,0,0.6844260729962087
47,Deleterious,-0.16432622660912993,0.17034491211806224,0.33471130181876774,20k-40k,L,FL,0,0.668329804929727
48,Beneficial,-0.06456128665719497,0.08395110352689487,0.44187288847727924,6.5k-20k,L,H,0,0.6984442430769897
49,Deleterious,-0.05514883301498124,0.05791596344134879,0.34098459435190154,6.5k-20k,L,H,0,0.668329804929727
50,Beneficial,-0.04727964092967052,0.10722252686221814,0.6592500881559465,20k-40k,L,H,0,0.8331125028805163
51,Deleterious,0.13021672996692604,0.0374420835015587,0.0005055141405158547,20k-40k,L,H,1,0.012385096442638441
52,Beneficial,0.03353658700759131,0.09576118113623407,0.7261806028307114,6.5k-20k,L,N,0,0.8784078408559431
53,Deleterious,-0.12682502234781368,0.08034479226199628,0.11444859458009747,6.5k-20k,L,N,0,0.43479283678174363
54,Beneficial,0.10658930756081489,0.11505782568085171,0.35423932773773104,20k-40k,L,N,0,0.6712737932888476
55,Deleterious,0.0027525853878792752,0.07640542518566765,0.971261590460128,20k-40k,L,N,0,0.9797276871094037
56,Beneficial,0.17793465658719393,0.10956282710872467,0.10436679888120726,6.5k-20k,L,Q,0,0.43479283678174363
57,Deleterious,-0.2531233044266554,0.13325483138872213,0.057493096602078214,6.5k-20k,L,Q,0,0.31301797038909246
58,Beneficial,-0.05557804062755094,0.17665950377115164,0.7530612494744657,20k-40k,L,Q,0,0.8891566560059956
59,Deleterious,0.10350746140094502,0.07816338414860899,0.18542172942334356,20k-40k,L,Q,0,0.5106595471085521
60,Beneficial,0.19498779705126257,0.12383472336778982,0.11535320159515648,6.5k-20k,L,WL,0,0.43479283678174363
61,Deleterious,-0.033880322729555545,0.06654559321527236,0.6106614749834123,6.5k-20k,L,WL,0,0.8331125028805163
62,Beneficial,-0.11346972114162318,0.19997074281012978,0.5704209768967361,20k-40k,L,WL,0,0.8220772902335315
63,Deleterious,-0.0030913498284919592,0.0781647457057335,0.968452562237886,20k-40k,L,WL,0,0.9797276871094037
64,Beneficial,0.18783068961150926,0.08884811046222817,0.034509707416557955,6.5k-20k,L,V,0,0.2800276576337559
65,Deleterious,-0.13261096223933055,0.09438322891178591,0.16001332124757006,6.5k-20k,L,V,0,0.5106595471085521
66,Beneficial,0.007672673810476928,0.1371278120552008,0.9553794736099328,20k-40k,L,V,0,0.9797276871094037
67,Deleterious,-0.010250780656754133,0.10169462422749276,0.9197095193015704,20k-40k,L,V,0,0.9691562676511172
68,Beneficial,0.33614664600154653,0.09917720540810344,0.0007005753512270211,0k-5k,R,R,1,0.013731276884049614
69,Deleterious,-0.03500956829659529,0.07803789746064864,0.6537038923067426,0k-5k,R,R,0,0.8331125028805163
70,Beneficial,0.21264980521646235,0.09128008384668049,0.019825145207992046,5k-20k,R,R,0,0.24285802879790258
71,Deleterious,-0.16447992643411163,0.07891942862020133,0.037146526012641096,5k-20k,R,R,0,0.2800276576337559
72,Beneficial,-0.6400825323562244,0.413269865824046,0.12142389156564967,20k-40k,R,R,0,0.4407237545716174
73,Deleterious,-0.0510472464918689,0.06285283655154471,0.4166935596235152,20k-40k,R,R,0,0.6818345197887096
74,Beneficial,0.07172530185642509,0.1576567477131723,0.6491481105386829,0k-5k,R,I,0,0.8331125028805163
75,Deleterious,-0.05156325082222505,0.11835892138882104,0.6630895431089824,0k-5k,R,I,0,0.8331125028805163
76,Beneficial,0.3533592790212994,0.09172916384830711,0.00011706033767650348,5k-20k,R,I,1,0.0038239710307657803
77,Deleterious,-0.09770196539961945,0.09193603946507889,0.28791044061693816,5k-20k,R,I,0,0.6204220382634167
78,Beneficial,-0.4912941451842816,0.4095770985915415,0.23032749788593132,20k-40k,R,I,0,0.5643023698205317
79,Deleterious,0.016642731658229614,0.0637452229840894,0.7940292559901164,20k-40k,R,I,0,0.9000993475879562
80,Beneficial,0.42822930306937634,0.07254242022305894,3.5661038820625495e-09,0k-5k,R,O,1,3.4947818044212986e-07
81,Deleterious,-0.01134226631219094,0.06805478893928205,0.8676346300505939,0k-5k,R,O,0,0.9343757554391011
82,Beneficial,0.13778271258121078,0.07552560507035778,0.06810402713523118,5k-20k,R,O,0,0.35072902820553054
83,Deleterious,-0.16237677520935412,0.07538621128529445,0.031245502552854514,5k-20k,R,O,0,0.2800276576337559
84,Beneficial,-0.03758017668783589,0.13539959276862526,0.7813577069265135,20k-40k,R,O,0,0.9000993475879562
85,Deleterious,-0.04583988659338446,0.05653287146026072,0.4174497059930875,20k-40k,R,O,0,0.6818345197887096
86,Beneficial,0.23554368785987906,0.1307270964297718,0.07157735269500623,0k-5k,R,T,0,0.35072902820553054
87,Deleterious,0.09445434629225273,0.11299175237758266,0.4031885545007784,0k-5k,R,T,0,0.6818345197887096
88,Beneficial,0.21119185330228227,0.1055471852903402,0.045400624525747876,5k-20k,R,T,0,0.3057033684811698
89,Deleterious,-0.19053254995505106,0.1634941518751862,0.24386586450096248,5k-20k,R,T,0,0.5828988956364469
90,Beneficial,-0.6982617050571108,0.5487379185947853,0.2032002454500471,20k-40k,R,T,0,0.5106595471085521
91,Deleterious,-0.027883019161113173,0.13197750588928758,0.8326758136953469,20k-40k,R,T,0,0.9168789858667865
92,Beneficial,0.27299995310314873,0.06187928137464063,1.0250759693980924e-05,0k-5k,R,U,1,0.0005022872250050653
93,Deleterious,0.057639398701547995,0.04444494655510959,0.19467529419821872,0k-5k,R,U,0,0.5106595471085521
94,Beneficial,0.08994253928198215,0.0600354503411709,0.13409242522679696,5k-20k,R,U,0,0.4693234882937894
